name,Age,G,GS,MP,FG,FGA,FG_Per,threeP,threePA,threeP_Perc,twoP,twoPA,twoP_Per,eFG_Per,FT,FTA,FT_Per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS_Game,Salary
Andre Roberson,25,79,79,30.1,2.7,5.9,0.464,0.6,2.3,0.245,2.2,3.5,0.609,0.513,0.6,1.4,0.423,1.2,3.9,5.1,1,1.2,1,0.6,2.6,6.6,3043
Brian Roberts,31,41,2,10.1,1.1,3,0.377,0.4,1.1,0.386,0.7,1.9,0.372,0.447,0.8,1,0.846,0.1,0.8,1,1.3,0.2,0,0.6,0.4,3.5,1994
Glenn Robinson,23,69,27,20.7,2.3,4.9,0.467,0.7,1.8,0.392,1.6,3.1,0.512,0.54,0.8,1.1,0.711,0.8,2.7,3.6,0.7,0.6,0.3,0.5,0.9,6.1,1235
Thomas Robinson,25,48,1,11.7,2.2,4.1,0.536,0,0,0,2.2,4.1,0.538,0.536,0.6,1.4,0.47,1.8,2.9,4.6,0.6,0.5,0.2,1,1.6,5,1994
Sergio Rodriguez,30,68,30,22.3,3.1,7.9,0.392,1.4,3.7,0.365,1.7,4.2,0.415,0.478,0.3,0.4,0.667,0.3,2,2.3,5.1,0.7,0.1,1.9,1.4,7.8,1994
Rajon Rondo,30,69,42,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.453,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,1775
Derrick Rose,28,64,64,32.5,7.2,15.3,0.471,0.2,0.9,0.217,7,14.3,0.487,0.477,3.5,4,0.874,1,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18,1455
Terrence Ross,25,78,24,25.1,4.2,9.6,0.437,1.8,5,0.363,2.4,4.6,0.518,0.532,0.8,1,0.831,0.2,2.4,2.6,1.1,1.1,0.4,0.9,1.8,11,3240
Terry Rozier,22,74,0,17.1,2,5.6,0.367,0.8,2.4,0.318,1.3,3.1,0.405,0.437,0.7,0.9,0.773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5,1410
Ricky Rubio,26,75,75,32.9,3.5,8.7,0.402,0.8,2.6,0.306,2.7,6.1,0.443,0.448,3.4,3.8,0.891,0.9,3.2,4.1,9.1,1.7,0.1,2.6,2.7,11.1,3778
Damjan Rudez,30,45,0,7,0.7,2,0.352,0.4,1.4,0.313,0.2,0.5,0.458,0.466,0,0,0,0.1,0.4,0.6,0.4,0.3,0,0.2,0.7,1.8,1994
Brandon Rush,31,47,33,21.9,1.5,4,0.374,0.9,2.4,0.386,0.6,1.6,0.356,0.492,0.3,0.4,0.722,0.3,1.8,2.1,1,0.5,0.5,0.6,0.9,4.2,346
D'Angelo Russell,20,63,60,28.7,5.6,13.8,0.405,2.1,6.1,0.352,3.4,7.7,0.447,0.483,2.3,3,0.782,0.5,3,3.5,4.8,1.4,0.3,2.8,2.1,15.6,2358
